,Smiles,mol2vec-000,mol2vec-001,mol2vec-002,mol2vec-003,mol2vec-004,mol2vec-005,mol2vec-006,mol2vec-007,mol2vec-008,mol2vec-009,mol2vec-010,mol2vec-011,mol2vec-012,mol2vec-013,mol2vec-014,mol2vec-015,mol2vec-016,mol2vec-017,mol2vec-018,mol2vec-019,mol2vec-020,mol2vec-021,mol2vec-022,mol2vec-023,mol2vec-024,mol2vec-025,mol2vec-026,mol2vec-027,mol2vec-028,mol2vec-029,mol2vec-030,mol2vec-031,mol2vec-032,mol2vec-033,mol2vec-034,mol2vec-035,mol2vec-036,mol2vec-037,mol2vec-038,mol2vec-039,mol2vec-040,mol2vec-041,mol2vec-042,mol2vec-043,mol2vec-044,mol2vec-045,mol2vec-046,mol2vec-047,mol2vec-048,mol2vec-049,mol2vec-050,mol2vec-051,mol2vec-052,mol2vec-053,mol2vec-054,mol2vec-055,mol2vec-056,mol2vec-057,mol2vec-058,mol2vec-059,mol2vec-060,mol2vec-061,mol2vec-062,mol2vec-063,mol2vec-064,mol2vec-065,mol2vec-066,mol2vec-067,mol2vec-068,mol2vec-069,mol2vec-070,mol2vec-071,mol2vec-072,mol2vec-073,mol2vec-074,mol2vec-075,mol2vec-076,mol2vec-077,mol2vec-078,mol2vec-079,mol2vec-080,mol2vec-081,mol2vec-082,mol2vec-083,mol2vec-084,mol2vec-085,mol2vec-086,mol2vec-087,mol2vec-088,mol2vec-089,mol2vec-090,mol2vec-091,mol2vec-092,mol2vec-093,mol2vec-094,mol2vec-095,mol2vec-096,mol2vec-097,mol2vec-098,mol2vec-099
0,BrC(c1cccc2ccccc12)c1cccc2ccccc12,8.001337,-6.0581837,-14.716816,-0.33423394,19.58356,-7.990005,14.333871,8.378449,22.645788,16.707079,-0.24649936,-11.180165,6.832279,0.41170064,-25.689533,15.134699,8.716415,3.891121,-1.5232456,-15.049437,-2.0765913,-1.6546806,-1.8374127,-7.55532,2.1889946,-1.5675718,9.248728,-27.284307,-4.54525,-6.4894886,-1.047545,8.393095,6.277361,-20.07364,19.195845,8.457302,13.298323,14.940215,2.8824763,-18.870382,15.725554,1.9727491,-2.2398696,-5.843427,-4.4903164,24.526045,-4.402107,14.538091,6.7671638,-12.529687,-37.514473,-13.523706,-11.814206,-15.725437,20.11926,-0.9670577,31.840446,5.117932,-13.828943,0.5790555,8.1754875,0.01968667,-3.4621153,-6.811766,19.501019,27.564947,12.610203,-4.278712,2.0338216,-20.164005,14.845506,-16.288372,0.8852731,2.077866,7.8974156,0.03679228,-11.048766,10.5604725,-5.997016,2.106005,-0.14554024,7.718935,20.7226,14.960373,6.937396,8.713988,-11.566619,8.242046,-7.2106376,1.8630315,10.932736,16.337917,41.548027,15.997767,-1.9873354,27.861887,13.327399,-7.2266526,-8.931778,-11.496655
1,O=C(CNc1cccc2ccccc12)N/N=C/C(Br)=C/c1ccccc1,-0.41503373,6.212519,-23.463017,5.4306426,9.528248,-1.1005511,-2.9423945,-2.082425,19.877136,16.388485,0.7275786,-16.810682,9.318947,3.21831,-21.82554,8.842884,20.476551,0.79785985,-10.30861,-13.19495,0.135939,-19.226168,-1.6493713,-14.674491,4.485433,-0.97103345,16.457111,-40.67575,7.088699,3.4498973,-9.18984,15.371084,4.347722,-19.145031,16.230816,8.455619,7.095384,0.870017,-3.2502885,-9.050817,13.679641,14.872378,-2.4608219,-4.5420213,-10.704575,26.635036,-9.531893,13.5367155,11.55874,-6.8048363,-35.963074,-17.7065,0.7459259,-17.778969,11.17057,-9.750376,29.286207,15.344996,-19.25763,0.54612195,17.85001,4.9887705,-11.420462,-13.076405,23.1458,27.299152,1.3203536,0.101098835,7.123066,-12.560032,19.3214,-9.413315,-3.7952306,1.7351738,14.500391,9.121024,-7.894621,6.167454,-16.904974,-7.037471,-7.5481863,-6.044354,11.771381,18.556902,16.987555,6.9657297,-22.440548,17.771402,-0.19969875,0.7856477,4.9093804,9.668109,42.36589,12.803564,4.8597116,24.397034,16.471926,-4.256736,-26.06323,-11.603855
2,O=C(Cc1cccs1)N/N=C/C(Br)=C/c1ccccc1,-2.958562,13.291539,-14.17221,2.6093411,9.031041,2.370669,-7.587522,-6.5237293,19.786488,18.10511,1.3407465,-9.404918,-1.0043359,1.7440656,-11.57291,0.0509108,15.190275,3.9698465,-3.8667402,-9.886427,6.126684,-15.770128,1.2206087,-12.0545635,0.4200521,6.5994334,13.637508,-31.088942,6.2134175,3.1743393,-4.9078774,13.493742,5.4094124,-10.228879,4.7625403,12.755463,4.8876777,-0.8519018,-2.288721,4.0488954,8.214578,19.777382,-9.040513,-7.0980916,-13.621346,15.32807,-4.7318616,9.342424,11.28832,5.6615615,-21.53327,-19.63228,3.6370919,-17.972496,6.5167875,-10.471726,23.159613,11.1218405,-4.8662534,0.6218697,16.513012,4.808516,-16.127172,-9.866074,16.082954,15.639312,5.53291,-2.3826401,8.626093,-9.059661,9.340921,-1.1499903,-1.4734504,-1.072194,11.90715,13.146242,1.0454664,5.3148746,-10.227053,-3.510176,-12.205621,-14.636665,3.8385973,12.907251,16.966906,2.900946,-13.290589,22.638615,-2.890557,-4.7149224,-1.4579227,3.819285,30.026352,13.723301,4.4662156,19.585604,10.787578,3.9213903,-24.027323,-8.825525
3,O=C1O/C(=C\Br)CC[C@@H]1c1cccc2ccccc12,0.15327775,1.9719243,-10.616755,-1.2476398,6.5583153,-4.99075,4.8863106,5.8290954,12.069872,6.896568,3.6050372,-3.0039196,5.739936,6.1876945,-12.3363,11.347186,6.1646614,2.950089,-2.1263552,-14.207065,0.02221778,2.7029474,-1.5150852,-8.733339,-2.2797818,0.39762765,8.579861,-20.924921,-1.2185946,1.4222869,1.8717512,4.0801563,-1.8238837,-13.883973,11.954938,7.2559385,5.6919928,3.2681813,2.9625547,-7.834857,8.866482,-1.2965139,1.0921321,-4.736088,-7.6561694,17.746843,-4.6598024,12.242656,4.3961706,-4.058324,-20.642122,-17.602247,-3.168432,-16.024488,19.783152,-4.7087054,15.44081,5.758869,-6.5699887,4.5121355,11.368367,4.2437468,-1.6980863,-7.0653124,7.220298,22.962791,0.68327165,-0.8680644,2.1050851,-14.218269,10.890335,-11.077026,-0.8031547,3.1713119,12.445748,7.709925,-4.976046,8.809955,-2.0385268,0.06314087,2.7389362,-2.2000544,14.46901,13.3273115,3.312264,9.140737,-7.278619,5.151191,-4.2217526,2.640365,10.918291,10.905491,26.140867,14.776824,2.329115,17.380583,10.428584,-2.3071551,-4.9456453,-6.345993
4,Brc1cc2c(cc1/C=N/Nc1nc(N3CCCC3)nc(N3CCOCC3)n1)OCO2,-7.157771,11.410654,-39.110275,7.6722193,-6.005183,-19.673216,-11.946967,-9.604263,9.682157,12.974504,-3.5226376,-18.322603,22.401648,19.562008,-20.121792,16.092451,19.756924,7.8081536,-18.062374,-31.071806,-2.3819933,14.755592,-4.7269354,-9.905051,-3.051407,-2.1516821,12.401407,-20.157057,9.961362,-6.5899515,14.973053,2.984664,-0.60088205,-8.919366,3.0072517,10.194836,1.9688041,-15.087143,21.132198,-15.786312,34.927917,5.4925222,-22.910448,-7.00515,-25.533157,34.81335,-33.9607,21.242386,21.490335,0.6968058,-7.3932185,-47.728096,19.754734,-33.771408,32.0003,-28.662758,10.542743,27.611814,-11.38978,-6.4106216,-0.77858526,24.57992,-13.976062,-27.584137,-1.2234551,32.121483,-13.13369,-8.748908,15.9816065,-34.312073,4.0575895,-17.530762,-12.350736,-4.685127,10.131571,7.758392,0.5274527,2.3107355,-18.52003,-8.705495,10.022259,-3.6049657,15.74111,18.198114,-1.3611803,-4.043536,-18.475296,13.93144,-8.98587,8.99453,7.594447,-12.521927,10.50887,18.376898,12.950244,10.525769,7.270344,1.8871951,-29.45206,-26.533619
5,O=C(Cc1ccc(Br)cc1)Nc1ccccc1Sc1ccccc1,7.90733,11.461077,-20.556374,3.238201,7.06763,0.04704599,-2.4680605,-8.539116,17.737991,18.97475,-8.3084955,-16.130135,8.6886635,2.4764485,-19.800669,10.37892,22.84313,-0.12541491,-5.719106,-18.102633,-4.4360003,-8.361678,2.1751385,-8.151372,8.95748,-2.7337456,9.1640215,-24.110718,3.0539753,0.6217817,-0.31521487,25.20529,4.860291,-20.14824,19.613338,7.9171124,1.5114117,12.940044,2.890118,-12.268199,13.929619,17.4394,-1.4233809,-15.758633,-5.33206,26.665651,-2.6871219,4.22057,13.075832,3.4818919,-41.719482,-18.481222,2.8149755,-12.284058,13.265097,-22.090887,31.863245,9.206507,-18.075245,1.7514747,16.096966,-0.56527984,-13.553734,-12.501352,12.74772,34.880146,1.0145506,-7.6551747,3.916446,-15.577318,13.596453,-22.02361,1.9230021,5.0782866,5.3073597,-0.13425219,-9.343798,14.157167,-0.755398,-15.076327,-6.3682423,-3.010538,21.637348,7.148031,-7.8904285,7.966507,-1.5964887,12.023187,-10.304367,15.378233,3.8473535,16.789558,59.14022,11.073338,-4.649174,26.717129,8.826968,0.6818684,-21.36526,-7.6374636
6,Brc1ccc(CSc2nccn2-c2ccccc2)cc1,8.03449,6.7766366,-13.951521,3.1598928,1.4693127,0.9561584,11.657409,-14.71353,14.815919,18.261433,2.4247046,-12.852092,0.24155337,2.2666433,-15.5092325,13.133327,25.743034,1.1141995,-4.9218287,-21.182623,-6.7870426,0.59744585,0.008816034,-0.6352508,7.3420224,0.9851971,4.246466,-16.9828,-0.4914709,-1.2804257,13.415131,24.190012,-2.8947673,-22.410118,10.146694,8.724852,2.115743,0.6607299,6.0153613,-14.434116,12.000246,14.972902,-7.0981464,-16.640102,-9.5582695,30.75932,1.9594631,4.1264124,6.433466,-0.9236351,-27.505798,-23.4589,-1.1574428,-18.094301,9.398969,-19.686226,21.317553,8.072318,-27.261358,2.0773718,11.09264,1.6589527,-14.964333,-8.707129,20.087189,37.502098,2.4595757,-2.8220809,7.4289474,-13.021839,7.9617805,-8.156548,-0.43649888,10.955774,2.2419343,6.891044,-13.817802,6.4917073,-4.457359,-1.141919,-18.09213,5.7472134,19.633173,-0.37212592,-3.2661903,15.581772,-0.6807984,15.198877,-7.747753,18.798647,1.619728,14.338581,34.909695,-1.2007327,-5.71769,14.478018,16.342638,1.9359417,-14.498071,-5.445201
7,O=C(N/C(=C/c1ccc(Br)cc1)c1nc2ccccc2[nH]1)c1ccco1,0.30768156,7.718065,-21.847307,4.698374,8.281359,-7.2785015,2.2297156,-0.020985156,22.381628,15.370269,-0.943845,-15.53432,4.956913,-5.0729885,-27.698029,12.968109,14.168149,0.44601518,-7.25476,-20.126673,-1.8924391,-12.133034,-3.0479083,-13.511249,2.098973,12.411314,10.940396,-33.26418,5.2206182,5.4213176,-2.0616484,12.721135,4.899827,-12.635198,5.906549,13.594767,0.74811125,-1.4562445,7.055978,-17.489193,21.37181,14.216069,-9.651279,-0.2650695,-13.8024235,25.42971,-9.833993,19.471252,2.9288516,-10.82185,-28.310074,-28.231466,5.2560287,-24.222872,14.774022,-9.517013,38.255848,9.434679,-15.284834,3.7942827,22.752201,12.2543,-14.29343,-16.601295,18.24295,25.909039,9.673135,-19.959938,12.101254,-6.98357,17.413834,-18.22645,-7.7628202,4.7957516,21.177876,9.458705,-8.081921,4.2595963,-8.936481,-8.885157,-3.3068566,-24.588877,16.63441,9.684447,16.454245,7.2371287,-9.773933,21.98726,-1.9463862,-1.4259852,2.6209464,13.399248,32.27423,7.627301,4.5791135,23.343626,14.9341545,6.55175,-26.418348,-22.515263
8,O=S(=O)(NCCNC/C=C\c1ccc(Br)cc1)c1cccc2cnccc12,-13.884582,10.984952,-24.254333,0.087478876,16.61949,-5.3166165,1.2718619,-5.6969633,20.80143,7.2617927,3.910836,-21.245934,3.0538464,-0.90859276,-10.441165,1.3486822,25.616959,1.4569336,-15.567186,-9.121774,-1.8243878,-14.738155,-16.542065,1.2369561,4.0800953,6.090973,13.415068,-41.265488,4.894882,-8.882843,-6.4449716,15.566121,3.3722916,-31.730106,23.831207,10.35785,6.8265767,-0.96924555,-8.450762,-17.906487,19.03495,21.815681,-0.8090264,-14.56212,-11.075429,31.220245,-10.920232,21.339905,1.320871,3.6548963,-35.33225,-27.298313,-7.275221,-16.484962,26.067745,-2.4544559,28.519814,8.843458,-13.803672,-12.322342,10.552061,9.064231,-10.709644,-17.252123,19.016304,22.485842,2.6283333,-13.116428,13.387697,-5.427051,13.724124,-21.251406,4.0483418,7.5739446,13.8879175,12.189637,-11.865162,7.796989,-20.124876,-6.8274097,-7.396124,-17.41436,16.960892,7.9283805,10.920953,8.9760475,-13.800067,28.683935,6.65682,8.29452,17.509125,13.743978,37.263374,9.671347,2.6550043,23.574694,11.604167,5.002788,-35.160957,-6.1239634
9,N=C(NOC(=O)c1cccc(Br)c1)c1ccc(Br)cc1,-0.45350933,11.494252,-15.363796,-1.0391273,1.2113485,-11.631624,-1.0305609,-5.67053,10.525842,12.04138,-7.8807263,-3.2549973,4.0271587,-6.463656,-5.7682676,15.433249,13.945476,-7.831486,-10.343485,-7.3562584,-1.184813,3.571268,0.92016816,-7.0891614,1.6653098,-2.8173573,5.128636,-18.580618,2.8453007,1.1003522,3.8140788,16.795053,0.9469494,-15.847168,11.0261,13.249073,0.07951823,-3.3132975,-6.513582,-9.637624,6.0912995,6.987225,-5.1600523,-9.159373,-4.5875454,19.8656,-0.73998415,12.782063,1.5384791,-7.598231,-29.46185,-9.460349,5.3709393,-11.704036,14.088907,-6.709925,25.118635,3.1051335,-11.530685,2.4112256,11.303721,4.7292266,-12.2272625,-12.679894,17.186512,21.381496,0.36654222,-15.041085,6.3496037,-11.473183,6.590791,-14.996363,-7.2795925,7.3304954,4.131636,0.6993391,-14.895667,9.160997,-11.924669,-14.690946,-0.7210976,-12.45389,16.823772,3.5196092,-3.2698193,3.8972023,-6.636031,6.019922,-5.525792,8.999616,2.6343377,15.119581,25.470947,2.9147348,-3.571465,23.976881,12.060714,3.8916955,-7.004698,-8.832893
